Event,Location,Date,Start,End,Image
Wolfgang Blanke,Galerie Schortgen,20.06,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/tzCyca9y-YFuDNRrIRPg/wolfgang-blanke-lWjF2E/thumb_23055-Blanke-Strand-70-x-100-cm-Emulsion-auf-Nessel_main.jpg
"<span class=""hyphen""> ""Asteroid</span> Mission"" - <span class=""hyphen"">Sonntagsführung </span>",Musée national d'histoire naturelle - 'natur musée',25.02,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/9vLx8wWybgEskWXd7a8Au4/asteroid-mission-guided-tours-xyX_no/thumb_https___cdn-evbuc-com_images_613696019_230627462044_1_original_main.jpg
Kamishibai im Park,Piratenschiff im Stadtpark,28.05,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/AUk-8obk9cWhsbxUBPNu/kamishibai-im-park-89ePzw/Kamishibai-im-Park_main.jpg
Visite thématique: La ville contemporaine dans l’art,Lëtzebuerg City Museum,3.03,10:30,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/luxembourg-vue-par-les-artistes-contemporains-Yef87V/thumb_artistes-contemporains_main.jpg
"<span class=""hyphen""> ""Asteroid</span> Mission"" - Visite guidée du dimanche",Musée national d'histoire naturelle - 'natur musée',3.03,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/9vLx8wWybgEskWXd7a8Au4/asteroid-mission-guided-tours-xyX_no/thumb_https___cdn-evbuc-com_images_613696019_230627462044_1_original_main.jpg
Cuban salsa [beginners],École de danses latines Danse-Salsa,16.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/puerto-rican-salsa-beginners-9eteiY/thumb_39_main.jpg
Cuban Salsa [beginners],École de danses latines Danse-Salsa,15.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/cuban-salsa-beginners-7i3uPu/thumb_24_main.jpg
"Cuban salsa <span class=""hyphen"">[intermediate] </span>",École de danses latines Danse-Salsa,15.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/cuban-salsa-intermediate-TbikJP/thumb_84_main.jpg
Dominican bachata [beginners],École de danses latines Danse-Salsa,15.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/dominican-bachata-beginners-gZpgGx/thumb_43_main.jpg
Djembe [all levels],École de danses latines Danse-Salsa,17.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/djembe-all-levels-7iGLV7/thumb_82_main.jpg
"Cuban salsa <span class=""hyphen"">[intermediate] </span>",École de danses latines Danse-Salsa,16.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/cuban-salsa-intermediate-fhZTar/thumb_38_main.jpg
Cuban salsa [advanced],École de danses latines Danse-Salsa,16.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/cuban-salsa-advanced-E_TnAh/thumb_115_main.jpg
Small but beautiful. Treasures of cultural heritage from Luxembourg,Nationalmusée um Fëschmaart,28.03,,4.08,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/luxembourg-a-small-country-with-a-long-and-rich-history-BWN6Mf/thumb_HenanMuseum_main.jpg
"Promenade thématique: «Sous la croix de <span class=""hyphen"">Saint-André» </span>",Lëtzebuerg City Museum,14.07,14:30,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/sous-la-croix-de-saint-andre-uNQ2iJ/thumb_Croix-st-andee-1024x683_main.jpg
Zoom In: L’art du pigment,Villa Vauban - Musée d'Art de la Ville de Luxembourg,24.05,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/zoom-in-l-art-du-pigment-rferkp/thumb_lart-du-pigment-1024x683_main.png
Luxembourg au Moyen-Âge « KIDS »,Lëtzebuerg City Museum,31.05,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/luxembourg-au-moyen-age-pour-les-enfants-_OmqJp/thumb_lux-moyen-age-enfants_main.jpg
"Promenade thématique: « L’eau, notre source de vie »",Lëtzebuerg City Museum,1.06,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/promenade-thematique-l-eau-notre-source-de-vie-ZA7pxQ/thumb_eau-source-de-vie-768x1024_main.jpg
Zoom In: Un fouillis de couleurs,Villa Vauban - Musée d'Art de la Ville de Luxembourg,1.06,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/zoom-in-un-fouillis-de-couleurs-5i-OHT/thumb_Rachel-Gillen-1024x743_main.png
Un été coloré | Group Show,Reuter Bausch Art Gallery,12.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/ju6iolz9_pXqfOlCEIhb/un-ete-colore-LHPdYA/thumb_web_Opening_InstaStory_main.jpg
Promenade « Parc Tony Neuman »,Villa Vauban - Musée d'Art de la Ville de Luxembourg,14.07,10:30,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/promenade-parc-tony-neuman-FVXcgq/thumb_tony-Neumann-706x1024_main.jpg
"The <em>Who is <span class=""hyphen"">who</em> </span>",Lëtzebuerg City Museum,25.02,10:30,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/la-galerie-de-portraits-du-letzebuerg-city-museum-ho1Ner/thumb_les-gens-dans-la-ville_main.jpg
"<span class=""hyphen""> ""Asteroid</span> Mission"" - Sunday Guided Tours",Musée national d'histoire naturelle - 'natur musée',18.02,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/9vLx8wWybgEskWXd7a8Au4/asteroid-mission-guided-tours-xyX_no/thumb_https___cdn-evbuc-com_images_613696019_230627462044_1_original_main.jpg
Plastic Arts Courses,Ecole d'art contemporain,1.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dmDeXl9tW8Na_hmeEeof/plastic-arts-courses-uoarD1/thumb_DSC_0704_main.JPG
"<span class=""hyphen""> Portraitzauber </span>",Nationalmusée um Fëschmaart,9.03,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/portraitzauber-Dq2PZZ/thumb_kutter-clown-2009-030-017_r-003_main.jpg
Promenade « Walk the art »,Villa Vauban - Musée d'Art de la Ville de Luxembourg,2.06,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/walk-the-art-mJc0jk/thumb_S2A1206_SIMON-VERJUS_MaisonModerne-1024x683_main.jpg
"<span class=""hyphen""> ""Asteroid</span> Mission"" - <span class=""hyphen"">Sonndes-Féierung</span>",Musée national d'histoire naturelle - 'natur musée',10.03,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/9vLx8wWybgEskWXd7a8Au4/asteroid-mission-guided-tours-xyX_no/thumb_https___cdn-evbuc-com_images_613696019_230627462044_1_original_main.jpg
Flag-tastic,Lëtzebuerg City Museum,26.05,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/flag-tastic-yrkAhL/thumb_Fandel-Workshop-768x1024_main.jpeg
"<span class=""hyphen""> Regelmäßige</span> Führung: The Luxembourg Story",Lëtzebuerg City Museum,25.02,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/regelma-ige-fuhrung-the-luxembourg-story-9hL7rV/thumb_the-lux-story_main.jpg
Regular guided tour: The Luxembourg Story,Lëtzebuerg City Museum,25.02,16:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/regular-guided-tour-the-luxembourg-story-KVrb0d/thumb_the-lux-story3_main.jpg
"<span class=""hyphen""> Regelmäßige</span> Führung: Ein Spaziergang durch die Kunst",Villa Vauban - Musée d'Art de la Ville de Luxembourg,5.05,16:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/regelma-ige-fuhrung-ein-spaziergang-durch-die-kunst-NPNJPt/thumb_DSF4542-1024x798_main.jpg
Regular guided tour: The Luxembourg Story,Lëtzebuerg City Museum,25.02,16:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/regular-guided-tour-the-luxembourg-story-3Vmss0/thumb_the-lux-story3_main.jpg
Vacances au musée: Fleurs en broderie,Lëtzebuerg City Museum,16.07,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/vacances-au-musee-fleurs-en-broderie-usULuC/thumb_fleurs-683x1024_main.jpg
Visitt fir Kanner mat Boma a Bopa,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,16.07,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/visitt-fir-kanner-mat-boma-a-bopa-MZorYV/thumb_md_mudam_18mai_6994_main.jpg
Visite guidée régulière: The Luxembourg Story,Lëtzebuerg City Museum,22.02,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/visite-guidee-reguliere-the-luxembourg-story-FwjOGF/thumb_the-lux-story2_main.jpg
Concerts: « Klassik am Park »,Villa Vauban - Musée d'Art de la Ville de Luxembourg,7.06,12:30,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/concerts-klassik-am-park-T_0xcc/thumb_Klassik-am-Park-1-1024x768_main.jpg
Visite guidée régulière: Une promenade à travers l’art,Villa Vauban - Musée d'Art de la Ville de Luxembourg,26.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/visite-guidee-reguliere-une-promenade-a-travers-l-rsquo-art-nsIAl5/thumb_DSF4373-768x1024_main.jpg
Regular guided tour: A stroll through art,Villa Vauban - Musée d'Art de la Ville de Luxembourg,4.05,16:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/regular-guided-tour-a-stroll-through-art-SQfisw/thumb_Projection-Artemotion-CW-1-1024x768_main.jpg
Dem Kutter seng Gesiichter. Nei Facettë vun eiser Sammlung,Nationalmusée um Fëschmaart,8.02,,1.09,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/dem-kutter-seng-gesiichter-nei-facette-vun-eiser-sammlung-w1D0AS/thumb_2009-030008_main.jpg
Visite guidée régulière: Pure Europe,Lëtzebuerg City Museum,24.03,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/visite-guidee-reguliere-pure-europe-5cfVp5/thumb_Pure-Europe-entree_main.jpg
Dem Kutter seng Gesiichter. Nei Facettë vun eiser Sammlung,Nationalmusée um Fëschmaart,11.02,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/dem-kutter-seng-gesiichter-nei-facette-vun-eiser-sammlung-xEqBpH/thumb_kutter-femme-fleur_main.jpg
"Curatorial tour - In the frame of the Put it on! Le Luxembourg <span class=""hyphen"">s'habille</span> exhibition",Cercle Cité,13.07,11:00,,https://storage.googleapis.com/lu-echo-prod-experiences/vWKvKcB6gt1033eS-Z6W/curatorial-tour-hjzoT7/thumb_08-KRIER-Tony-1967_0752_0005_main.jpg
Lasst uns eine Geschichte zeichnen!,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,14.07,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/let-s-draw-a-story-TLhxK5/thumb_md_mudam_18mai_7032_main.jpg
Massimo Beni Art Exhibition,Subtile Showroom-Gallery,5.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/TWfwSUJm1WSNW2xAkYAp/massimo-beni-art-exhibition-kmYJ9f/thumb_IMG_8052_main.JPG
"Jason Dodge. Tomorrow, I walked to a dark black star",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,12.06,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/jason-dodge-tomorrow-i-walked-to-a-dark-black-star-rmxz8l/thumb_MUDAM-2024-Jason-Dodge-083_main.jpg
A Model,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,9.02,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/a-model-LdEuJd/thumb_2024-02-08_MUDAM-043b_main.jpg
"Tomorrow, I walked to a dark black star",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,4.05,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/tomorrow-i-walked-to-a-dark-black-star-5b8XMA/thumb_MUDAM-2024-Jason-Dodge-083_main.jpg
My Last Will,Casino Luxembourg - Forum d'art contemporain,25.05,,8.09,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/my-last-will-2NaHB6/thumb_40-20Casino-20Luxembourg_My-20Last-20Will_2024_various-20artists_photo-20Jessica-20Theis_main.jpg
"Villa Plage: Les « Tricot sur l’herbe », tout feu tout flamme",Villa Vauban - Musée d'Art de la Ville de Luxembourg,15.07,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/dF1E8TeFDSr9k1fhPyEDRw/villa-plage-les-tricot-sur-l-herbe-tout-feu-tout-flamme-ioM6C9/thumb_mamies-1012x1024_main.jpg
Workshop + guided tour (6-9 years) | Architectures Modulables,luca – Luxembourg Center for Architecture,11.07,14:00,,https://storage.googleapis.com/lu-echo-prod-experiences/oB0c1cl49l9M4BLaWGUJ/workshop-guided-tour-6-9-years-architectures-modulables--MpmOY/thumb_Architectures-Modulables-Heruditatem_main.jpg
Meditation guided tour,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,13.07,11:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/meditation-guided-tour-llwYc-/thumb_PHOTOCREDIT_Mathilde-Magne_3_main.jpg
Drop in! Bauhaus Badges,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,13.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/drop-in-bauhaus-badges-AB3Cz6/thumb_XS-Bauhausdach-1-copie-2-22Lx30H_main.jpg
Put it on! Le Luxembourg s’habille,Cercle Cité,13.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/vWKvKcB6gt1033eS-Z6W/put-it-on-luxembourg-s-habille-OGkw5k/thumb_20240529_Photothe-que_Banner-web_main.jpeg
CeCiL’s Box by Étienne Duval,Cercle Cité,27.06,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/vWKvKcB6gt1033eS-Z6W/cecil-s-box-by-etienne-duval-3ORw4-/thumb_CBOX_BANNER_main.jpg
Drop in! Bauhaus Badges,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,13.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/drop-in-bauhaus-badges-AB3Cz6/thumb_XS-Bauhausdach-1-copie-2-22Lx30H_main.jpg
Visite guidée du Plateau de Kirchberg,Fonds Kirchberg,1.06,10:00,,https://storage.googleapis.com/lu-echo-prod-experiences/XTtdW79XSxdkKqxeXjG8/visite-guidee-du-plateau-de-kirchberg-CIovX7/thumb_banner_youtube_main.jpg
"Exposition | <span class=""hyphen"">Jean-Christophe</span> Quinton (architecte)",luca – Luxembourg Center for Architecture,4.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/oB0c1cl49l9M4BLaWGUJ/exposition-monographique-de-l-architecte-jean-christophe-quinton-NXkZsS/Jean-Christophe-Quinton-4x3-2x_LR_main.jpg
"<span class=""hyphen""> Supports/Surfaces.</span> Notre collection à l’affiche",Nationalmusée um Fëschmaart,27.06,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/supports-surfaces-notre-collection-a-l-affiche-YMotuw/thumb_CouvertureCatalogue_main.jpg
Tour in English,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,15.05,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/tour-in-english-aJktkC/thumb_md_mudam_8fev_7892_main.jpg
Café des Langues,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,26.06,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/cafe-des-langues-gBQq0l/thumb_2019_01_31-Nuit-des-ide-es-170_main.jpg
Lunchtime at Mudam,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,5.07,12:30,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/lunchtime-at-mudam-1UXTcF/thumb_Air-Rights-2009_Courtesy-Kunstverein-Hannover-2023-photo-Mathias-Vo-lzke-4_main.jpg
"Visitt op <span class=""hyphen"">Lëtzebuergesch </span>",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,15.06,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/visitt-op-letzebuergesch-XYO_a0/thumb_md_mudam_8fev_7868_main.jpg
Visite en français,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,15.06,16:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/visite-en-francais-KtZQz_/thumb_md_mudam_8fev_7856_main.jpg
Führung auf Deutsch,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,16.06,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/fuhrung-auf-deutsch-NHdDIQ/thumb_md_mudam_8fev_7877_main.jpg
Tour in English,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,16.06,16:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/tour-in-english-6MC6fW/thumb_2024-02-08_MUDAM-222_main.jpg
Insignia,Bibliothèque nationale du Luxembourg,13.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/YA_WfjqcSO9VDTgf0gbu/insignia-UXP9aU/thumb_202404-Insignia_main.jpg
Ars Heraldica,Bibliothèque nationale du Luxembourg,15.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/YA_WfjqcSO9VDTgf0gbu/ars-heraldica-18aEak/thumb_202404-Ars-Heraldica_main.png
"Exposition | <span class=""hyphen"">Bauhärepräis</span> OAI 2024",luca – Luxembourg Center for Architecture,30.04,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/oB0c1cl49l9M4BLaWGUJ/exposition-bauhareprais-oai-2024-Rk9KEj/thumb_Bauha-repra-is-OAI-2024_COVER_main.jpg
Das Paradies auf Erden,Villa Vauban - Musée d'Art de la Ville de Luxembourg,5.07,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/i8Tag5AuFnQhyqaJybXPW5/the-earthly-paradise-Na8748/thumb_2024065233_Villa-Vauban_expotemp_Paradi_1600x900_BAT_01_main.png
"Blau. Die Nacht, die See, die Ferne",Nationalmusée um Fëschmaart,2.05,18:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/bleu-la-nuit-la-mer-le-lointain-1sx13j/thumb_Suda-House_2024-04-02-143419_bsii_main.jpg
Die Frauen und die Revolution. Die Kämpfe der Frauen,Nationalmusée um Fëschmaart,7.07,15:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/women-and-the-revolution-the-struggles-of-women-2mb4_7/thumb_TOM5372_main.jpg
Blooming Voices: Erforschung der Freiheit durch Kunst und Geschichte,Nationalmusée um Fëschmaart,22.06,13:00,,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/blooming-voices-exploring-freedom-through-art-and-history-sLcxwb/thumb_Liliana_collage-6_main.jpg
Queer After Work,Letz Boys,26.06,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/IyYrjjsvvQ_g2apUKSYj/queer-after-work-hJQHiK/thumb_after_main.jpeg
Our wall - our voices,"University of Luxembourg, Kirchberg",20.03,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/4x7Ihfq9U1cF51-cysL7/our-wall-our-voices-F0mhCB/thumb_Image-14-03-2024-at-17-49_main.jpg
La révolution de 1974. Des rues de Lisbonne au Luxembourg,Nationalmusée um Fëschmaart,26.04.2024,,05.01.2025,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/the-carnation-revolution-yEumUd/thumb_2023115106_MNAHA_Com-Exposition-Revolution-des-oeillets_banner-web-1500x1080_BAT_2024-04-12-125057_vtck_main.jpg
"Xanti Schawinsky: Play, Life, Illusion — a Retrospective + Schawinsky Reloaded by Monster Chetwynd",Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,12.07.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/play-life-illusion-a-retrospective-schawinsky-reloaded-by-monster-chetwynd-kUXZas/thumb_Xanti-Schawinsky_Untitled_-_Xanti-Schawinsky-Estate_main.jpg
Agnieszka Kurant,Mudam Luxembourg – Musée d'Art Moderne Grand-Duc Jean,07.06.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/2K5z9Ne9UsPExQEVQ3mjbY/solo-exhibition-1hCD_L/thumb_Agnieszka-Kurant_Nonorganic-Life_-_Mathias-Vo-lzke_main.jpeg
Pure Europe,Lëtzebuerg City Museum,06.06.2024,19:00,,https://storage.googleapis.com/lu-echo-prod-experiences/eQkdoc29W5rhJrDUTnruyU/pure-europe-vNhLWZ/thumb_Site_main.jpg
"<span class=""hyphen""> Supports/Surfaces.</span> Notre collection à l’affiche",Nationalmusée um Fëschmaart,21.06.2024,,23.02.2025,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/de-l-audace-le-luxembourg-dans-l-atlas-des-collections-supports-surfaces-rPCLHZ/thumb_mnha65722_main.jpg
"<span class=""hyphen""> Collections/Revelations.</span> Modern and contemporary art",Nationalmusée um Fëschmaart,15.03.2024,,31.07.2025,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/collections-revelations-art-moderne-et-contemporain-5lnLf9/thumb_Franz-von-Matsch-Portrait-of-William-Dowuona-1897_main.jpg
Meet Annelies (LU/DE),Casino Luxembourg - Forum d'art contemporain,18.07.2024,12:30,12:50,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/meet-annelies-lu-de-_pqMLd/thumb_meet-20annelies_main.jpg
Meet Annelies (LU/DE),Casino Luxembourg - Forum d'art contemporain,18.07.2024,12:30,12:50,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/meet-annelies-IxTk10/thumb_meet-20annelies_main.jpg
"<span class=""hyphen""> Mittagsmusik </span>",Eglise Saint Mathieu Pfaffenthal,18.07.2024,12:30,13:15,https://storage.googleapis.com/lu-echo-prod-experiences/OpVoeqtuVDw_978DEEp8/afterwork-utH4-c/thumb_AFTERWORK-EVENT-18-07-copie_main.jpg
AFTERWORK,IKKI,18.07.2024,17:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/alfredo-cunha-photographe-50-ans-de-carriere-D_WZCL/thumb_2024025169_MNAHA_Com-Exposition-Cunha_banner-web-1500x1080_BAT_main.jpg
"Alfredo Cunha, photographe. 50 ans de carrière",Nationalmusée um Fëschmaart,18.07.2024,18:00,17:00,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
"Alfredo Cunha, photographe. 50 ans de carrière",Nationalmusée um Fëschmaart,18.07.2024,18:00,19:30,https://storage.googleapis.com/lu-echo-prod-experiences/1dCexH4ccV3szukuVqtcJd/alfredo-cunha-photographe-50-ans-de-carriere-D_WZCL/thumb_2024025169_MNAHA_Com-Exposition-Cunha_banner-web-1500x1080_BAT_main.jpg
D'Stad liest - Mil Goerens,Place de la Constitution,18.07.2024,18:30,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/FA7MuqnAlmYEYsy9d3kd/d-stad-liest-mil-goerens-Ab1xWj/thumb_Mil-Goerens_main.JPG
Public Sound System,Casino Luxembourg - Forum d'art contemporain,18.07.2024,17:30,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/public-sound-system-E2QRXo/thumb_no-20date_site_new_main.png
The Golden Gays Group,Rainbow Center - Zentrum fir queer Kultur,18.07.2024,19:00,21:00,https://storage.googleapis.com/lu-echo-prod-experiences/IyYrjjsvvQ_g2apUKSYj/4vLqWKPVxiQ-3_tpuIw-jM-mJtJ3f/thumb_RC-GG-KW27-sm_main.png
Jim Williams Presents: Work in Progress,Carlitos Comedy Club,18.07.2024,20:00,22:00,https://storage.googleapis.com/lu-echo-prod-experiences/mUUt5YpP_bpME2S9sIjH/jim-williams-presents-work-in-progress-8EkUzx/thumb_ECHO_main.jpg
"Jeden Donnerstag: Die <span class=""hyphen"">Nachtführung </span>",Casino Luxembourg - Forum d'art contemporain,18.07.2024,19:00,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/mSyL_Bz-W6m6MrMuixd5/every-thursday-the-night-tour-y1sHlk/90-20Casino-20Luxembourg_My-20Last-20Will_2024_Vernissage_photo-20Jessica-20Theis_rsz_main.jpg
Raï Sensation,IKKI,19.07.2024,19:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/OpVoeqtuVDw_978DEEp8/rai-sensation-ernV4r/thumb_DJ-HARONE-EVENT-copie_main.jpg
"<span class=""hyphen""> PubQuizGameShowTriviaNight! </span>",Carlitos Comedy Club,19.07.2024,18:00,17:00,https://storage.googleapis.com/lu-echo-prod-experiences/mUUt5YpP_bpME2S9sIjH/pubquizgameshowtrivianight-WrYJqq/thumb_echo_main.jpg
Salsa workshop with cuban rumba,École de danses latines Danse-Salsa,19.07.2024,19:30,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/RwH7tuEZlUWOddJx5jlK/salsa-workshop-with-cuban-rumba-B-nplA/thumb_82-2_main.jpg
The BIG BEER RAVE,Brauerei - Big Beer Company,19.07.2024,22:00,23:45,https://storage.googleapis.com/lu-echo-prod-experiences/WmFz1thn6UGCqVs_enLy/the-big-beer-rave-C5CZYZ/thumb_Capture-d-e-cran-2024-07-04-a-11-58-13_main.png
Comedy Club Karaoke Night,Carlitos Comedy Club,19.07.2024,21:00,11:30,https://storage.googleapis.com/lu-echo-prod-experiences/mUUt5YpP_bpME2S9sIjH/comedy-club-karaoke-night-pdYL7V/thumb_ECHO.jpg
